customer_id,credit_limit,sex,education,marital_status,age,payment_status_sep,payment_status_aug,payment_status_jul,payment_status_jun,payment_status_may,payment_status_apr,bill_amount_sep,bill_amount_aug,bill_amount_jul,bill_amount_jun,bill_amount_may,bill_amount_apr,payment_amount_sep,payment_amount_aug,payment_amount_jul,payment_amount_jun,payment_amount_may,payment_amount_apr,default_next_month,delay_months_apr,delay_months_may,delay_months_jun,delay_months_jul,delay_months_aug,delay_months_sep,credit_utilization_apr,credit_utilization_may,credit_utilization_jun,credit_utilization_jul,credit_utilization_aug,credit_utilization_sep,avg_credit_utilization_6m,early_utilization_avg,recent_utilization_avg,utilization_change,months_with_delay,maximum_delay_months,early_delay_avg,recent_delay_avg,delay_change,no_payment_with_bill_apr,no_payment_with_bill_may,no_payment_with_bill_jun,no_payment_with_bill_jul,no_payment_with_bill_aug,no_payment_with_bill_sep,months_no_payment_with_bill,default_flag,utilization_band,utilization_trend,delay_group,utilization_per_10pct,risk_segment,recommended_action
11,200000,female,high_school,single,34,0,0,2,0,0,-1,11073,9787,5535,2513,1828,3731,2306,12,50,300,3738,66,No default,0,0,0,2,0,0,1.87,0.91,1.26,2.77,4.89,5.54,2.87,1.35,4.4,3.05,1,2,0.0,0.67,0.67,0,0,0,0,0,0,0,0,Low (0-30%),Stable,2 Months,0.28700000000000003,High Risk,Contact customer and review before increasing credit
12,260000,female,graduate_school,single,51,-1,-1,-1,-1,-1,2,12261,21670,9966,8517,22287,13668,21818,9966,8583,22301,0,3640,No default,2,0,0,0,0,0,5.26,8.57,3.28,3.83,8.33,4.72,5.66,5.7,5.63,-0.07,1,2,0.67,0.0,-0.67,0,1,0,0,0,0,1,0,Low (0-30%),Stable,2 Months,0.5660000000000001,High Risk,Contact customer and review before increasing credit
13,630000,female,university,single,41,-1,0,-1,-1,-1,-1,12137,6500,6500,6500,6500,2870,1000,6500,6500,6500,2870,0,No default,0,0,0,0,0,0,0.46,1.03,1.03,1.03,1.03,1.93,1.08,0.84,1.33,0.49,0,0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,Low (0-30%),Stable,No Delay,0.10800000000000001,Low Risk,Continue normal service and routine monitoring
14,70000,male,university,single,30,1,2,2,0,0,2,65802,67369,65701,66782,36137,36894,3200,0,3000,3000,1500,0,default,2,0,0,2,2,1,52.71,51.62,95.4,93.86,96.24,94.0,80.64,66.58,94.7,28.12,4,2,0.67,1.67,1.0,1,0,0,0,1,0,2,1,High (60-100%),Increasing,2 Months,8.064,High Risk,Contact customer and review before increasing credit
15,250000,male,graduate_school,single,29,0,0,0,0,0,0,70887,67060,63561,59696,56875,55512,3000,3000,3000,3000,3000,3000,No default,0,0,0,0,0,0,22.2,22.75,23.88,25.42,26.82,28.35,24.9,22.94,26.86,3.92,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Low (0-30%),Stable,No Delay,2.4899999999999998,Low Risk,Continue normal service and routine monitoring
16,50000,female,high_school,others,23,1,2,0,0,0,0,50614,29173,28116,28771,29531,30211,0,1500,1100,1200,1300,1100,No default,0,0,0,0,2,1,60.42,59.06,57.54,56.23,58.35,101.23,65.47,59.01,71.94,12.93,2,2,0.0,1.0,1.0,0,0,0,0,0,1,1,0,High (60-100%),Increasing,2 Months,6.547,High Risk,Contact customer and review before increasing credit
17,20000,male,graduate_school,single,24,0,0,2,2,2,2,15376,18010,17428,18338,17905,19104,3200,0,1500,0,1650,0,default,2,2,2,2,0,0,95.52,89.52,91.69,87.14,90.05,76.88,88.47,92.24,84.69,-7.55,4,2,2.0,0.67,-1.33,1,0,1,0,1,0,3,1,High (60-100%),Stable,2 Months,8.847,High Risk,Contact customer and review before increasing credit
18,320000,male,graduate_school,married,49,0,0,0,-1,-1,-1,253286,246536,194663,70074,5856,195599,10358,10000,75940,20000,195599,50000,No default,0,0,0,0,0,0,61.12,1.83,21.9,60.83,77.04,79.15,50.31,28.28,72.34,44.06,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Moderate (30-60%),Increasing,No Delay,5.031000000000001,Low Risk,Continue normal service and routine monitoring
19,360000,female,graduate_school,married,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,No default,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.33,0.33,0,0,0,0,0,0,0,0,Low (0-30%),Stable,1 Month,0.0,Watchlist,Monitor closely and send early payment reminders
20,180000,female,graduate_school,single,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,No default,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.33,0.33,0,0,0,0,0,0,0,0,Low (0-30%),Stable,1 Month,0.0,Watchlist,Monitor closely and send early payment reminders
21,130000,female,high_school,single,39,0,0,0,0,0,-1,38358,27688,24489,20616,11802,930,3000,1537,1000,2000,930,33764,No default,0,0,0,0,0,0,0.72,9.08,15.86,18.84,21.3,29.51,15.88,8.55,23.22,14.67,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Low (0-30%),Increasing,No Delay,1.588,Low Risk,Continue normal service and routine monitoring
22,120000,female,university,married,39,-1,-1,-1,-1,-1,-1,316,316,316,0,632,316,316,316,0,632,316,0,default,0,0,0,0,0,0,0.26,0.53,0.0,0.26,0.26,0.26,0.26,0.26,0.26,0.0,0,0,0.0,0.0,0.0,1,0,0,1,0,0,2,1,Low (0-30%),Stable,No Delay,0.026000000000000002,Low Risk,Continue normal service and routine monitoring
23,70000,female,university,single,26,2,0,0,2,2,2,41087,42445,45020,44006,46905,46012,2007,3582,0,3601,0,1820,default,2,2,2,0,0,2,65.73,67.01,62.87,64.31,60.64,58.7,63.21,65.2,61.22,-3.98,4,2,2.0,0.67,-1.33,0,1,0,1,0,0,2,1,High (60-100%),Stable,2 Months,6.321,High Risk,Contact customer and review before increasing credit
24,450000,female,graduate_school,married,40,-2,-2,-2,-2,-2,-2,5512,19420,1473,560,0,0,19428,1473,560,0,0,1128,default,0,0,0,0,0,0,0.0,0.0,0.12,0.33,4.32,1.22,1.0,0.04,1.96,1.92,0,0,0.0,0.0,0.0,0,0,1,0,0,0,1,1,Low (0-30%),Stable,No Delay,0.1,Low Risk,Continue normal service and routine monitoring
25,90000,male,graduate_school,single,23,0,0,0,-1,0,0,4744,7070,0,5398,6360,8292,5757,0,5398,1200,2045,2000,No default,0,0,0,0,0,0,9.21,7.07,6.0,0.0,7.86,5.27,5.9,7.43,4.38,-3.05,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,Low (0-30%),Stable,No Delay,0.5900000000000001,Low Risk,Continue normal service and routine monitoring
26,50000,male,high_school,single,23,0,0,0,0,0,0,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,No default,0,0,0,0,0,0,60.09,59.66,57.93,72.05,83.62,95.24,71.43,59.23,83.64,24.41,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,High (60-100%),Increasing,No Delay,7.143000000000001,Watchlist,Monitor closely and send early payment reminders
27,60000,male,graduate_school,single,27,1,-2,-1,-1,-1,-1,-109,-425,259,-57,127,-189,0,1000,0,500,0,1000,default,0,0,0,0,0,1,0.0,0.21,0.0,0.43,0.0,0.0,0.11,0.07,0.14,0.07,1,1,0.0,0.33,0.33,0,1,0,1,0,0,2,1,Low (0-30%),Stable,1 Month,0.011,Watchlist,Monitor closely and send early payment reminders
28,50000,female,high_school,single,30,0,0,0,0,0,0,22541,16138,17163,17878,18931,19617,1300,1300,1000,1500,1000,1012,No default,0,0,0,0,0,0,39.23,37.86,35.76,34.33,32.28,45.08,37.42,37.62,37.23,-0.39,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Moderate (30-60%),Stable,No Delay,3.742,Low Risk,Continue normal service and routine monitoring
29,50000,female,high_school,married,47,-1,-1,-1,-1,-1,-1,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,No default,0,0,0,0,0,0,0.51,60.86,4.08,6.83,6.83,1.3,13.4,21.82,4.99,-16.83,0,0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,Low (0-30%),Decreasing,No Delay,1.34,Low Risk,Continue normal service and routine monitoring
30,50000,male,graduate_school,single,26,0,0,0,0,0,0,15329,16575,17496,17907,18375,11400,1500,1500,1000,1000,1600,0,No default,0,0,0,0,0,0,22.8,36.75,35.81,34.99,33.15,30.66,32.36,31.79,32.93,1.14,0,0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,Moderate (30-60%),Stable,No Delay,3.2359999999999998,Low Risk,Continue normal service and routine monitoring
31,230000,female,graduate_school,single,27,-1,-1,-1,-1,-1,-1,16646,17265,13266,15339,14307,36923,17270,13281,15339,14307,37292,0,No default,0,0,0,0,0,0,16.05,6.22,6.67,5.77,7.51,7.24,8.24,9.65,6.84,-2.81,0,0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,Low (0-30%),Stable,No Delay,0.8240000000000001,Low Risk,Continue normal service and routine monitoring
32,50000,male,university,single,33,2,0,0,0,0,0,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,716,default,0,0,0,0,0,2,47.36,46.43,45.47,44.2,59.24,61.04,50.62,46.42,54.83,8.41,1,2,0.0,0.67,0.67,0,0,0,0,0,0,0,1,Moderate (30-60%),Stable,2 Months,5.061999999999999,High Risk,Contact customer and review before increasing credit
33,100000,male,graduate_school,single,32,0,0,0,0,0,0,93036,84071,82880,80958,78703,75589,3023,3511,3302,3204,3200,2504,No default,0,0,0,0,0,0,75.59,78.7,80.96,82.88,84.07,93.04,82.54,78.42,86.66,8.24,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,High (60-100%),Stable,No Delay,8.254000000000001,Watchlist,Monitor closely and send early payment reminders
34,500000,female,university,married,54,-2,-2,-2,-2,-2,-2,10929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,No default,0,0,0,0,0,0,1.8,14.29,1.5,4.54,0.83,2.19,4.19,5.86,2.52,-3.34,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Low (0-30%),Stable,No Delay,0.41900000000000004,Low Risk,Continue normal service and routine monitoring
35,500000,male,graduate_school,married,58,-2,-2,-2,-2,-2,-2,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,No default,0,0,0,0,0,0,1.06,0.0,0.64,6.23,1.0,2.74,1.94,0.57,3.32,2.75,0,0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,Low (0-30%),Stable,No Delay,0.194,Low Risk,Continue normal service and routine monitoring
36,160000,male,graduate_school,single,30,-1,-1,-2,-2,-2,-1,30265,-131,-527,-923,-1488,-1884,131,396,396,565,792,0,No default,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,18.92,3.15,0.0,6.31,6.31,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Low (0-30%),Stable,No Delay,0.315,Low Risk,Continue normal service and routine monitoring
37,280000,male,university,married,40,0,0,0,0,0,0,186503,181328,180422,170410,173901,177413,8026,8060,6300,6400,6400,6737,No default,0,0,0,0,0,0,63.36,62.11,60.86,64.44,64.76,66.61,63.69,62.11,65.27,3.16,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,High (60-100%),Stable,No Delay,6.369,Watchlist,Monitor closely and send early payment reminders
38,60000,female,university,single,22,0,0,0,0,0,-1,15054,9806,11068,6026,-28335,18660,1500,1518,2043,0,47671,617,No default,0,0,0,0,0,0,31.1,0.0,10.04,18.45,16.34,25.09,16.84,13.71,19.96,6.25,0,0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,Low (0-30%),Stable,No Delay,1.684,Low Risk,Continue normal service and routine monitoring
39,50000,male,graduate_school,single,25,1,-1,-1,-2,-2,-2,0,780,0,0,0,0,780,0,0,0,0,0,default,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.56,0.0,0.26,0.0,0.52,0.52,1,1,0.0,0.33,0.33,0,0,0,0,1,0,1,1,Low (0-30%),Stable,1 Month,0.026000000000000002,Watchlist,Monitor closely and send early payment reminders
40,280000,male,graduate_school,single,31,-1,-1,2,-1,0,-1,498,9075,4641,9976,17976,9477,9075,0,9976,8000,9525,781,No default,0,0,0,2,0,0,3.38,6.42,3.56,1.66,3.24,0.18,3.07,4.45,1.69,-2.76,1,2,0.0,0.67,0.67,0,0,0,0,1,0,1,0,Low (0-30%),Stable,2 Months,0.307,High Risk,Contact customer and review before increasing credit
41,360000,male,graduate_school,single,33,0,0,0,0,0,0,218668,221296,206895,628699,195969,179224,10000,7000,6000,188840,28000,4000,No default,0,0,0,0,0,0,49.78,54.44,174.64,57.47,61.47,60.74,76.42,92.95,59.89,-33.06,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,High (60-100%),Decreasing,No Delay,7.642,Watchlist,Monitor closely and send early payment reminders
42,70000,female,graduate_school,single,25,0,0,0,0,0,0,67521,66999,63949,63699,64718,65970,3000,4500,4042,2500,2800,2500,No default,0,0,0,0,0,0,94.24,92.45,91.0,91.36,95.71,96.46,93.54,92.56,94.51,1.95,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,High (60-100%),Stable,No Delay,9.354000000000001,Watchlist,Monitor closely and send early payment reminders
43,10000,male,university,single,22,0,0,0,0,0,0,1877,3184,6003,3576,3670,4451,1500,2927,1000,300,1000,500,No default,0,0,0,0,0,0,44.51,36.7,35.76,60.03,31.84,18.77,37.94,38.99,36.88,-2.11,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Moderate (30-60%),Stable,No Delay,3.7939999999999996,Low Risk,Continue normal service and routine monitoring
44,140000,female,university,married,37,0,0,0,0,0,0,59504,61544,62925,64280,67079,69802,3000,3000,3000,4000,4000,3000,No default,0,0,0,0,0,0,49.86,47.91,45.91,44.95,43.96,42.5,45.85,47.89,43.8,-4.09,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Moderate (30-60%),Stable,No Delay,4.585,Low Risk,Continue normal service and routine monitoring
45,40000,female,graduate_school,single,30,0,0,0,2,0,0,18927,21295,25921,25209,26636,29197,3000,5000,0,2000,3000,0,No default,0,0,2,0,0,0,72.99,66.59,63.02,64.8,53.24,47.32,61.33,67.53,55.12,-12.41,1,2,0.67,0.0,-0.67,1,0,0,1,0,0,2,0,High (60-100%),Decreasing,2 Months,6.133,High Risk,Contact customer and review before increasing credit
46,210000,male,graduate_school,single,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,default,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,Low (0-30%),Stable,No Delay,0.0,Low Risk,Continue normal service and routine monitoring
47,20000,female,graduate_school,single,22,0,0,2,-1,0,0,14028,16484,15800,16341,16675,0,3000,0,16741,334,0,0,default,0,0,0,2,0,0,0.0,83.38,81.71,79.0,82.42,70.14,66.11,55.03,77.19,22.16,1,2,0.0,0.67,0.67,0,1,0,0,1,0,2,1,High (60-100%),Increasing,2 Months,6.611,High Risk,Contact customer and review before increasing credit
48,150000,female,unknown,single,46,0,0,-1,0,0,-2,4463,3034,1170,1170,0,0,1013,1170,0,0,0,0,default,0,0,0,0,0,0,0.0,0.0,0.78,0.78,2.02,2.98,1.09,0.26,1.93,1.67,0,0,0.0,0.0,0.0,0,0,1,1,0,0,2,1,Low (0-30%),Stable,No Delay,0.10900000000000001,Low Risk,Continue normal service and routine monitoring
49,380000,male,university,single,32,-1,-1,-1,-1,-1,-1,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251,No default,0,0,0,0,0,0,3.12,3.12,8.43,3.98,5.67,5.9,5.04,4.89,5.18,0.29,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Low (0-30%),Stable,No Delay,0.504,Low Risk,Continue normal service and routine monitoring
50,20000,male,graduate_school,single,24,0,0,0,0,0,0,17447,18479,19476,19865,20480,20063,1318,1315,704,928,912,1069,No default,0,0,0,0,0,0,100.32,102.4,99.32,97.38,92.4,87.24,96.51,100.68,92.34,-8.34,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,High (60-100%),Stable,No Delay,9.651,Watchlist,Monitor closely and send early payment reminders
51,70000,male,high_school,single,42,1,2,2,2,2,0,37042,36171,38355,39423,38659,39362,0,3100,2000,0,1500,1500,default,0,2,2,2,2,1,56.23,55.23,56.32,54.79,51.67,52.92,54.53,55.93,53.13,-2.8,5,2,1.33,1.67,0.34,0,0,1,0,0,1,2,1,Moderate (30-60%),Stable,2 Months,5.453,Critical Risk,Urgent human review and offer repayment support
52,100000,female,high_school,others,43,0,0,0,0,0,0,61559,51163,43824,39619,35762,33258,2000,1606,1500,2000,1500,1000,No default,0,0,0,0,0,0,33.26,35.76,39.62,43.82,51.16,61.56,44.2,36.21,52.18,15.97,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Moderate (30-60%),Increasing,No Delay,4.42,Low Risk,Continue normal service and routine monitoring
53,310000,female,university,married,49,-2,-2,-2,-2,-2,-2,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,0,No default,0,0,0,0,0,0,0.15,1.14,3.61,2.45,2.54,4.34,2.37,1.63,3.11,1.48,0,0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,Low (0-30%),Stable,No Delay,0.23700000000000002,Low Risk,Continue normal service and routine monitoring
54,180000,female,graduate_school,single,25,1,2,0,0,0,0,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,No default,0,0,0,0,2,1,25.18,24.68,24.17,23.75,23.19,23.0,24.0,24.68,23.31,-1.37,2,2,0.0,1.0,1.0,0,0,0,0,0,0,0,0,Low (0-30%),Stable,2 Months,2.4,High Risk,Contact customer and review before increasing credit
55,150000,female,graduate_school,single,29,2,0,0,0,0,0,46224,34993,31434,26518,21042,16540,1600,1718,1049,1500,2000,5000,No default,0,0,0,0,0,2,11.03,14.03,17.68,20.96,23.33,30.82,19.64,14.25,25.04,10.79,1,2,0.0,0.67,0.67,0,0,0,0,0,0,0,0,Low (0-30%),Increasing,2 Months,1.964,High Risk,Contact customer and review before increasing credit
56,500000,female,graduate_school,married,45,-2,-2,-2,-2,-2,-2,1905,3640,162,0,151,2530,3640,162,0,151,2530,0,No default,0,0,0,0,0,0,0.51,0.03,0.0,0.03,0.73,0.38,0.28,0.18,0.38,0.2,0,0,0.0,0.0,0.0,1,0,0,1,0,0,2,0,Low (0-30%),Stable,No Delay,0.028000000000000004,Low Risk,Continue normal service and routine monitoring
57,180000,female,high_school,married,34,0,0,0,-1,-1,-1,16386,15793,8441,7142,-679,8321,8500,1500,7500,679,9000,2000,No default,0,0,0,0,0,0,4.62,0.0,3.97,4.69,8.77,9.1,5.19,2.86,7.52,4.66,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Low (0-30%),Stable,No Delay,0.519,Low Risk,Continue normal service and routine monitoring
58,180000,female,university,married,34,0,0,0,0,0,0,175886,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,3800,No default,0,0,0,0,0,0,72.18,73.45,93.67,95.73,96.36,97.71,88.18,79.77,96.6,16.83,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,High (60-100%),Increasing,No Delay,8.818000000000001,Watchlist,Monitor closely and send early payment reminders
59,200000,female,graduate_school,single,34,-1,3,2,2,2,2,1587,1098,782,1166,700,1414,0,0,700,0,1200,0,No default,2,2,2,2,3,0,0.71,0.35,0.58,0.39,0.55,0.79,0.56,0.55,0.58,0.03,5,3,2.0,1.67,-0.33,1,0,1,0,1,1,4,0,Low (0-30%),Stable,3+ Months,0.05600000000000001,Critical Risk,Urgent human review and offer repayment support
60,400000,female,university,married,29,0,0,0,0,0,0,400134,398857,404205,360199,356656,364089,17000,15029,30000,12000,12000,23000,No default,0,0,0,0,0,0,91.02,89.16,90.05,101.05,99.71,100.03,95.17,90.08,100.26,10.18,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,High (60-100%),Increasing,No Delay,9.517,Watchlist,Monitor closely and send early payment reminders
61,500000,female,high_school,married,28,0,0,0,0,0,0,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,2000,default,0,0,0,0,0,0,3.11,2.77,2.99,3.78,4.73,4.57,3.66,2.96,4.36,1.4,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,Low (0-30%),Stable,No Delay,0.366,Low Risk,Continue normal service and routine monitoring
62,70000,male,university,married,39,0,0,0,0,0,-1,70800,72060,69938,16518,14096,830,4025,2095,1000,2000,3000,0,No default,0,0,0,0,0,0,1.19,20.14,23.6,99.91,102.94,101.14,58.15,14.98,101.33,86.35,0,0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,Moderate (30-60%),Increasing,No Delay,5.8149999999999995,Low Risk,Continue normal service and routine monitoring
63,50000,male,graduate_school,single,29,2,2,2,2,2,2,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,default,2,2,2,2,2,2,56.53,55.33,51.73,53.18,48.6,49.97,52.56,54.53,50.58,-3.95,6,2,2.0,2.0,0.0,1,0,0,1,0,1,3,1,Moderate (30-60%),Stable,2 Months,5.256,Critical Risk,Urgent human review and offer repayment support
64,50000,female,university,married,46,0,0,0,-2,-2,-2,28718,29166,0,0,0,0,1000,0,0,0,0,0,default,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58.33,57.44,19.29,0.0,38.59,38.59,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,Low (0-30%),Increasing,No Delay,1.9289999999999998,Low Risk,Continue normal service and routine monitoring
65,130000,female,university,married,51,-1,-1,-2,-2,-1,-1,99,0,0,0,2353,0,0,0,0,2353,0,0,No default,0,0,0,0,0,0,0.0,1.81,0.0,0.0,0.0,0.08,0.32,0.6,0.03,-0.57,0,0,0.0,0.0,0.0,0,1,0,0,0,1,2,0,Low (0-30%),Stable,No Delay,0.032,Low Risk,Continue normal service and routine monitoring
66,200000,male,graduate_school,married,57,-2,-2,-2,-1,2,2,152519,148751,144076,8174,8198,7918,0,0,8222,300,0,1000,default,2,2,0,0,0,0,3.96,4.1,4.09,72.04,74.38,76.26,39.14,4.05,74.23,70.18,2,2,1.33,0.0,-1.33,0,1,0,0,1,1,3,1,Moderate (30-60%),Increasing,2 Months,3.914,High Risk,Contact customer and review before increasing credit
67,10000,male,university,married,56,2,2,2,0,0,0,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,160,default,0,0,0,2,2,2,43.26,41.96,40.62,39.78,41.93,20.97,38.09,41.95,34.23,-7.72,3,2,0.0,2.0,2.0,0,0,0,0,1,0,1,1,Moderate (30-60%),Stable,2 Months,3.809,High Risk,Contact customer and review before increasing credit
